NO.,NAMA KONTRAKTOR,Gred,NEGERI,DERAH,NO.TELEFON,NO.FAKS,PPK,SPKK,STB,EXPIRY DATE
413,A H BINA RESOURCES,G2,PERAK,MANJUNG,0173946207,056888515,Yes,Yes,Yes,20/12/2023
414,A H T (NORLAN UNITED) & CARRIAGE SDN. BHD.,G7,TERENGGANU,KUALA TERENGGANU,09-6226518,09-6221530,Yes,Yes,Yes,11/02/2026
415,A HOUSE CONSTRUCTION & PILING,G3,SELANGOR,KLANG,0351613369,0351613369,Yes,NO SPKK,NO STP,18/11/2025
416,A I TECHNIC (M) SDN. BHD.,G4,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-66587404,NO FAX,Yes,NO SPKK,NO STP,20/09/2025
417,A INTERIOR DESIGN,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-86611182,NO FAX,Yes,NO SPKK,NO STP,12/05/2024
418,A J BAHAGIA ENTERPRISE,G1,PULAU PINANG,TIMOR LAUT,0124420749,-,Yes,Yes,Yes,06/10/2024
419,A J ENTERPRISE,G1,SARAWAK,PAKAN,019-8798059,0,Yes,Yes,NO STP,05/04/2025
420,A JAHID ENTERPRISE,G1,PERAK,KINTA,0125700887,052531855,Yes,Yes,Yes,04/10/2025
421,A JAY ENTERPRISE,G1,SARAWAK,Lubok Antu,014-2859734,NO FAX,Yes,NO SPKK,NO STP,04/07/2025
422,A KV ENTERPRISE,G2,SELANGOR,PETALING,01-64517643,NO FAX,Yes,NO SPKK,NO STP,17/08/2025
423,A L GOH CONSTRUCTION,G3,MELAKA,MELAKA TENGAH,063121493,-,Yes,NO SPKK,NO STP,20/04/2026
424,A LATIF BINA,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0342949380,-,Yes,Yes,Yes,29/09/2024
425,A LYN ENTERPRISE,G2,JOHOR,KOTA TINGGI,0137861555,0,Yes,Yes,Yes,03/01/2026
426,A M BINA KONTRAKTOR,G1,PERAK,KINTA,01-05474663,NO FAX,Yes,Yes,Yes,16/05/2024
427,A M BROTHERS CONSTRUCTION SDN. BHD.,G5,SELANGOR,PETALING,0,NO FAX,Yes,NO SPKK,NO STP,02/03/2025
428,A M I ENGINEERING & ENTERPRISE,G1,PAHANG,KUANTAN,019-3845052,-,Yes,Yes,Yes,17/07/2026
429,A M SINAR GLOBAL SDN. BHD.,G5,SELANGOR,Hulu Langat,03-92005526,NO FAX,Yes,NO SPKK,NO STP,08/04/2026
430,A MAN CONSTRUCTION,G1,PERAK,KUALA KANGSAR,0165587806,-,Yes,Yes,Yes,02/02/2024
431,A MAZING ENTERPRISE,G1,NEGERI SEMBILAN,SEREMBAN,01-36473781,NO FAX,Yes,Yes,Yes,09/10/2025
432,A MECH CONSTRUCTION SDN. BHD.,G4,SARAWAK,BINTULU,01-09875556,NO FAX,Yes,NO SPKK,NO STP,10/10/2024
433,A MURNY ENTERPRISE,G1,TERENGGANU,HULU TERENGGANU,01-39200077,09-6227101,Yes,Yes,Yes,06/05/2024
434,A N A UTARA ENTERPRISE,G2,KEDAH,KOTA SETAR,0174069833,NO FAX,Yes,Yes,Yes,19/05/2025
435,A N D ENGINEERING & TRADING,G1,PAHANG,KUANTAN,Ni-l,Ni-l,Yes,NO SPKK,NO STP,11/09/2025
436,A N E CONSTRUCTION SDN. BHD.,G2,PERAK,MANJUNG,056721540,056721540,Yes,Yes,Yes,21/09/2024
437,A N E ENTERPRISE,G1,KELANTAN,KOTA BHARU,09-7741761,-,Yes,Yes,Yes,25/09/2025
438,A N GOLDEN SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,,03-26984174,03-03-26913376,Yes,NO SPKK,NO STP,09/01/2024
439,A N I GEMILANG TRADING & CONSTRUCTION,G1,MELAKA,ALOR GAJAH,0122077773,-,Yes,Yes,Yes,02/09/2024
440,A N J EMPIRE,G1,SELANGOR,KUALA LANGAT,01-16995233,NO FAX,Yes,Yes,Yes,09/01/2024
441,A N PRO ENTERPRISE,G1,NEGERI SEMBILAN,SEREMBAN,067629564,067676403,Yes,Yes,Yes,24/09/2024
442,A NAJIB ENTERPRISE,G1,JOHOR,PONTIAN,0197703159,076878812,Yes,Yes,Yes,17/04/2026
443,A NET INTEGRATED SDN. BHD.,G5,SELANGOR,PETALING,016-3086729,NO FAX,Yes,NO SPKK,NO STP,22/06/2024
444,A NOR ENTERPRISE,G1,NEGERI SEMBILAN,SEREMBAN,01-33904960,-,Yes,Yes,Yes,21/03/2025
445,A ONE ACCESS,G2,MELAKA,MELAKA TENGAH,062837523,062837526,Yes,Yes,Yes,20/03/2024
446,A ONE ADVERTISING SDN. BHD.,G3,SELANGOR,KLANG,0,0,Yes,NO SPKK,NO STP,10/05/2025
447,A ONE MULTI RESOURCES SDN. BHD.,G5,SELANGOR,KLANG,0,NO FAX,Yes,NO SPKK,NO STP,11/09/2025
448,A ONE PILING SDN. BHD.,G7,SELANGOR,KLANG,0,NO FAX,Yes,NO SPKK,NO STP,23/03/2026
449,A ONE PRO CONSTRUCTION,G3,SELANGOR,GOMBAK,0361859482,0361883248,Yes,Yes,Yes,23/08/2024
450,A ONE RESOURCES,G1,KELANTAN,GUA MUSANG,0139257630,NO FAX,Yes,Yes,Yes,06/06/2024
451,A ONE TEKNIK ENTERPRISE ,G2,KEDAH,PENDANG,04-7143055,04-7143055,Yes,Yes,Yes,26/02/2025
452,A PIT SERVICES,G1,KEDAH,KUBANG PASU,01-84668990,NO FAX,Yes,Yes,Yes,01/11/2024
453,A PLUS CLEAN SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-42921868,03-42872100,Yes,Yes,Yes,03/09/2025
454,A PLUS DT GROUP SDN. BHD.,G3,JOHOR,JOHOR BAHRU,07-2179003,NO FAX,Yes,Yes,Yes,26/12/2025
455,A PLUS ENTERPRISE,G1,SABAH,KOTA MARUDU,019-8729601,00,Yes,NO SPKK,NO STP,14/12/2024
456,A PLUS PLUS VENTURES,G1,PERAK,KINTA,0,0,Yes,Yes,Yes,06/01/2026
457,A POINT ELECTRICAL ENGINEERING,G5,SELANGOR,PETALING,0,NO FAX,Yes,NO SPKK,NO STP,15/09/2026
458,A PROJECT,G1,SABAH,TAWAU,016-8316503,016-8316503,Yes,NO SPKK,NO STP,05/10/2024
459,A PROJECT SDN. BHD.,G4,SELANGOR,,03-78876239,NO FAX,Yes,Yes,NO STP,13/07/2025
460,A QAIYUNN ENTERPRISE,G2,MELAKA,ALOR GAJAH,0126220471,-,Yes,Yes,Yes,22/01/2026
461,A QUALITY VENTURES,G1,TERENGGANU,BESUT,01-48059261,NO FAX,Yes,Yes,Yes,16/04/2026
462,A R RAMIZAH ENTERPRISE,G3,SELANGOR,KLANG,01-11224128,NO FAX,Yes,NO SPKK,NO STP,20/06/2024
463,A RAFAIE ENTERPRISE,G1,PERAK,"LARUT, MATANG DAN SELAMA",01-77533450,NO FAX,Yes,Yes,Yes,03/04/2024
464,A RAMLEE RESOURCES,G2,SELANGOR,SABAK BERNAM,0126185338,0126185338,Yes,Yes,Yes,16/12/2025
465,A RAYYAN ENTERPRISE,G1,JOHOR,TANGKAK,0136890986,NO FAX,Yes,Yes,Yes,27/01/2026
466,A RIFQI ENTERPRISE,G1,PERAK,"LARUT, MATANG DAN SELAMA",01110806039,NO FAX,Yes,Yes,Yes,16/10/2024
467,A S AISY ENTERPRISE ,G1,NEGERI SEMBILAN,SEREMBAN,01-79100780,NO FAX,Yes,Yes,Yes,03/07/2025
468,A S M VENTURES,G3,SELANGOR,SEPANG,0383209535,-,Yes,Yes,Yes,15/05/2026
469,A SAMM LEGACY,G1,NEGERI SEMBILAN,,03-87417488,NO FAX,Yes,Yes,Yes,22/01/2024
470,A SEVEN D ENTERPRISE,G1,JOHOR,JOHOR BAHRU,07-6994163,NO FAX,Yes,NO SPKK,NO STP,18/10/2025
471,A SIX LEGACY ENTERPRISE,G1,KEDAH,KULIM,01-75008805,NO FAX,Yes,Yes,Yes,14/04/2024
472,A SYA ENTERPRISE,G2,PAHANG,TEMERLOH,019-2858009,0,Yes,Yes,Yes,30/03/2026
473,A T TRANSCONST SDN. BHD.,G3,JOHOR,MUAR,069866817,069866061,Yes,NO SPKK,NO STP,01/08/2024
474,A T Z ENGINEERING,G1,SELANGOR,PETALING,0383184133,0383184945,Yes,Yes,Yes,24/03/2025
475,A TEAM EMPIRE,G1,PERAK,MANJUNG,01-22074578,NO FAX,Yes,Yes,Yes,15/03/2026
476,A TECH ATLANTIS SDN. BHD.,G7,PERAK,KINTA,05-2559993,05-2536116,Yes,NO SPKK,NO STP,30/05/2025
477,A TERRATECH SOLUTION SDN. BHD.,G3,SARAWAK,KUCHING,01-28717198,NO FAX,Yes,NO SPKK,NO STP,04/10/2024
478,A TO R TRADING,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,01-93881259,NO FAX,Yes,Yes,Yes,15/12/2025
479,A TO Z CONSTRUCTION SERVICE SDN. BHD.,G5,SELANGOR,,014-3255433,NO FAX,Yes,NO SPKK,NO STP,16/06/2025
480,A TO Z GENERAL ENTERPRISE,G1,SARAWAK,LIMBANG,010-7649978,NO FAX,Yes,NO SPKK,NO STP,28/06/2026
481,A TOO Z BINA ENTERPRISE,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0192314699,NO FAX,Yes,Yes,Yes,07/01/2026
482,A TREE RESOURCES,G1,KEDAH,KUALA MUDA,01-95663810,NO FAX,Yes,NO SPKK,NO STP,05/09/2025
483,A TREND DESIGN & RENOVATION,G3,SABAH,Kota Kinabalu,088-395295,NO FAX,Yes,NO SPKK,NO STP,07/02/2024
484,A TUNE ENTERPRISE,G1,PERAK,MANJUNG,01-74273256,-,Yes,Yes,Yes,09/12/2023
485,A TWO HUNDRED ENTERPRISE,G1,SELANGOR,GOMBAK,0123293347,-,Yes,Yes,Yes,18/12/2023
486,A TWO Z VENTURES,G1,MELAKA,MELAKA TENGAH,01-46396831,NO FAX,Yes,Yes,NO STP,18/09/2025
487,A U JAYAMAS SDN. BHD.,G3,SARAWAK,MIRI,085431433,085431433,Yes,Yes,Yes,31/05/2026
488,A W ENTERPRISE,G3,SARAWAK,KAPIT,019-7441173,0,Yes,NO SPKK,NO STP,20/07/2026
489,A W J CEKAL ENTERPRISE,G1,MELAKA,MELAKA TENGAH,062686752,-,Yes,Yes,Yes,22/11/2024
490,A WANG ENTERPRISE,G1,PERAK,MANJUNG,056881900,056881900,Yes,Yes,Yes,01/02/2026
491,A Z MAJU ENTERPRISE,G3,PAHANG,ROMPIN,01-39469169,09-4146939,Yes,Yes,Yes,24/01/2026
492,A Z PROACTIVE ENTERPRISE,G2,SELANGOR,KUALA SELANGOR,0,0,Yes,Yes,Yes,02/06/2026
493,A Z R JITU ENTERPRISE,G1,PERLIS,PERLIS,01-64333680,NO FAX,Yes,Yes,Yes,16/10/2025
494,A Z RESOURCES,G1,PAHANG,KUANTAN,01-39807070,NO FAX,Yes,Yes,Yes,19/05/2024
495,A Z SIGNS MARKETING SDN. BHD.,G5,SELANGOR,,0361516888,0361511988,Yes,NO SPKK,NO STP,10/03/2025
496,A ZACK ENGINEERING & CONSTRUCTION,G1,JOHOR,JOHOR BAHRU,07-5281996,-,Yes,Yes,Yes,10/11/2024
497,A ZAINAL ENTERPRISE,G1,PAHANG,ROMPIN,0199028987,-,Yes,Yes,Yes,18/02/2025
498,A ZAMZURIE TRADING,G1,KELANTAN,KOTA BHARU,01-94568910,NO FAX,Yes,Yes,Yes,12/09/2024
499,A&A 57 SDN. BHD.,G2,SARAWAK,KUCHING,0143975446,NO FAX,Yes,NO SPKK,NO STP,01/03/2025
500,A&A 76 ENTERPRISE,G1,TERENGGANU,DUNGUN,01-99499328,NO FAX,Yes,Yes,Yes,05/12/2023
501,A&A 91 ENTERPRISE,G1,NEGERI SEMBILAN,JEMPOL,01-96195284,NO FAX,Yes,Yes,Yes,29/08/2026
502,A&A ADVANCE SDN. BHD.,G2,SELANGOR,,01-73809115,0,Yes,NO SPKK,NO STP,15/10/2025
503,A&A AIRCOND & ELECTRICAL SERVICES,G1,PAHANG,KUANTAN,01-79285067,NO FAX,Yes,Yes,Yes,21/04/2025
504,A&A AZAHAR ENTERPRISE,G1,SELANGOR,HULU SELANGOR,01115850430,NO FAX,Yes,Yes,Yes,14/05/2025
505,A&A BINA NIAGA,G1,NEGERI SEMBILAN,SEREMBAN,01-96628976,NO FAX,Yes,Yes,Yes,30/10/2026
506,A&A BINAJAYA TRADING,G1,TERENGGANU,KUALA TERENGGANU,01118878625,NO FAX,Yes,Yes,Yes,16/03/2025
507,A&A CONSTRUCTION EMPIRE,G1,TERENGGANU,KUALA TERENGGANU,01-79135165,NO FAX,Yes,Yes,Yes,06/09/2025
508,A&A CORPORATE SOLUTION,G1,PERLIS,PERLIS,01-25452201,NO FAX,Yes,Yes,NO STP,10/11/2024
509,A&A CREATIVE IDEAS SDN. BHD.,G3,SELANGOR,,0361777759,0361786759,Yes,NO SPKK,NO STP,10/02/2025
510,A&A FUTURE EMPIRE,G1,KEDAH,KULIM,019-8383872,019-8383872,Yes,Yes,Yes,23/03/2025
511,A&A GLOBAL RESOURCES,G1,TERENGGANU,DUNGUN,01123005085,0,Yes,Yes,Yes,06/02/2026
512,A&A HAFIZ ELECTRICAL ENTERPRISE,G1,MELAKA,MELAKA TENGAH,018-2189068,NO FAX,Yes,NO SPKK,NO STP,11/06/2025
513,A&A INNOVATIVE LEGACY ENTERPRISE,G1,NEGERI SEMBILAN,SEREMBAN,01116560339,0,Yes,NO SPKK,NO STP,09/08/2024
514,A&A INTEGRATED ENTERPRISE,G1,TERENGGANU,DUNGUN,09-8444766,NO FAX,Yes,Yes,Yes,22/01/2025
515,A&A JAGAT EMPIRE ENTERPRISE,G1,KEDAH,SIK,01-32024201,01-32024201,Yes,Yes,Yes,21/06/2024
516,A&A JUNIOR ENTERPRISE,G1,JOHOR,JOHOR BAHRU,0,NO FAX,Yes,Yes,Yes,16/10/2026
517,A&A KETURUNAN ENTERPRISE,G1,KEDAH,KUALA MUDA,01-84717083,NO FAX,Yes,Yes,Yes,16/03/2024
518,A&A LEGACY,G1,PERLIS,PERLIS,01-95556389,NO FAX,Yes,Yes,Yes,16/01/2026
519,A&A MACHINERY ENTERPRISE,G2,SELANGOR,Hulu Langat,03-61086719,NO FAX,Yes,NO SPKK,NO STP,20/07/2025
520,A&A MEGAH  SDN. BHD.,G5,PAHANG,KUANTAN,09-5342410,NO FAX,Yes,Yes,Yes,18/07/2024
521,A&A MEWAH NIAGA,G1,JOHOR,SEGAMAT,07-9456401,NO FAX,Yes,Yes,Yes,17/09/2025
522,A&A MOSWEN ENTERPRISE,G1,PAHANG,RAUB,01-28774492,01-28774492,Yes,Yes,Yes,05/01/2026
523,A&A PRISMATIK ENTERPRISE,G2,SELANGOR,KUALA SELANGOR,01-76291929,NO FAX,Yes,Yes,Yes,18/11/2025
524,A&A SHOPPE ENTERPRISE,G1,PERLIS,PERLIS,01-77987759,NO FAX,Yes,Yes,Yes,21/03/2024
525,A&A SMART CONCEPTS ENTERPRISE,G3,JOHOR,KULAIJAYA,01-43898708,NO FAX,Yes,Yes,Yes,03/06/2026
526,A&A SYUKRAN CONSTRUCTION SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,,01-07070265,NO FAX,Yes,NO SPKK,NO STP,04/05/2025
527,A&A VICTORIAN VENTURES,G2,WILAYAH PERSEKUTUAN LABUAN,LABUAN,01-28608522,NO FAX,Yes,Yes,Yes,24/06/2025
528,A&A WOODWORKS ENTERPRISE,G1,PERLIS,PERLIS,01-24432422,NO FAX,Yes,Yes,Yes,20/03/2024
529,A&B JAYA ENTERPRISE,G1,SELANGOR,Hulu Langat,01-25629910,NO FAX,Yes,Yes,Yes,27/04/2024
530,A&D ALFALAH ENTERPRISE,G1,JOHOR,KLUANG,07-16069429,01-76069429,Yes,Yes,Yes,18/07/2026
531,A&D TERAJU CONSTRUCTION,G1,MELAKA,MELAKA TENGAH,01-82897063,NO FAX,Yes,NO SPKK,NO STP,04/05/2025
532,A&E JAYA ENTERPRISE,G1,SABAH,PENAMPANG,012-3344457,NO FAX,Yes,NO SPKK,NO STP,04/04/2025
533,A&E STEEL SOLUTIONS  SDN. BHD.,G4,PULAU PINANG,SEBERANG PRAI UTARA,0,NO FAX,Yes,NO SPKK,NO STP,28/02/2026
534,A&E STRUCTURE STEEL SDN. BHD.,G3,SELANGOR,,03-55251885,-,Yes,NO SPKK,NO STP,27/06/2026
535,A&F BUSINESS TRADING,G2,PAHANG,LIPIS,01-66630789,NO FAX,Yes,Yes,NO STP,03/08/2024
536,A&F ENGINEERING ENTERPRISE,G2,PAHANG,TEMERLOH,00-,00-,Yes,Yes,Yes,08/07/2026
537,A&F ILLAHI ENTERPRISE,G1,TERENGGANU,MARANG,01111928304,NO FAX,Yes,Yes,Yes,15/01/2026
538,A&F MUTIARA GLOBAL,G1,KELANTAN,TANAH MERAH,01-11999433,NO FAX,Yes,Yes,Yes,21/11/2025
539,A&F MUTIARA IMPIAN ENTERPRISE,G1,PULAU PINANG,TIMOR LAUT,01-75547994,NO FAX,Yes,Yes,Yes,26/06/2024
540,A&F SINAR ENTERPRISE,G1,MELAKA,ALOR GAJAH,01-46801224,NO FAX,Yes,Yes,Yes,22/03/2024
541,A&F SYNERGY SOLUTION,G1,KELANTAN,KUALA KRAI,012-5276157,NO FAX,Yes,Yes,Yes,05/01/2026
542,A&F TEGUH SETIA ENTERPRISE,G1,MELAKA,ALOR GAJAH,0142377546,0,Yes,Yes,Yes,17/08/2024
543,A&F VENTURE,G2,SELANGOR,KLANG,01-02323780,NO FAX,Yes,NO SPKK,NO STP,17/02/2024
544,A&G ELECTRICAL ENGINEERING WORK’S,G1,SARAWAK,MIRI,013-9800019,NO FAX,Yes,NO SPKK,NO STP,12/04/2024
545,A&G SOLUTIONS TECHNOLOGY SDN. BHD.,G5,JOHOR,JOHOR BAHRU,07-3645885,07-3645588,Yes,Yes,Yes,08/03/2024
546,A&H BERKAT ENTERPRISE,G1,MELAKA,JASIN,0,0,Yes,Yes,Yes,21/12/2025
547,A&H BINA ENTERPRISE,G1,KEDAH,KOTA SETAR,---,NO FAX,Yes,Yes,Yes,25/10/2026
548,A&H CONSTRUCTION ENTERPRISE,G2,KEDAH,LANGKAWI,11-16599711,NO FAX,Yes,NO SPKK,NO STP,21/03/2024
549,A&H ENTERPRISE,G2,SABAH,SANDAKAN,012-2819396,0,Yes,Yes,Yes,18/12/2024
550,A&H KPK ENTERPRISE,G5,JOHOR,JOHOR BAHRU,0,NO FAX,Yes,NO SPKK,NO STP,12/06/2025
551,A&H LIGAT ENTERPRISE,G1,PAHANG,BERA,01-83633983,NO FAX,Yes,Yes,Yes,09/01/2025
552,A&H SUCCESS ENTERPRISE,G1,KEDAH,LANGKAWI,01-99872565,NO FAX,Yes,Yes,Yes,06/04/2024
553,A&H TEGUH TRADING,G1,PAHANG,TEMERLOH,09-2701354,NO FAX,Yes,Yes,Yes,06/02/2027
554,A&H UNITED RESOURCES,G1,TERENGGANU,MARANG,01-45158715,NO FAX,Yes,Yes,Yes,15/03/2026
555,A&I SINARAN BAKTI ENTERPRISE,G1,KELANTAN,TUMPAT,0169320489,NO FAX,Yes,Yes,Yes,07/08/2026
556,A&I VISION ENTERPRISE,G1,PAHANG,JERANTUT,01-02124544,NO FAX,Yes,Yes,NO STP,21/08/2024
557,A&K BINA ENGINEERING,G1,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,03-91082082,03-91082082,Yes,Yes,Yes,04/01/2026
558,A&K TECHNOLOGY SOLUTION,G1,SELANGOR,HULU SELANGOR,0133126125,NO FAX,Yes,Yes,Yes,21/05/2025
559,A&K VISION CONSTRUCTION,G1,SABAH,SANDAKAN,013-2825537,NO FAX,Yes,NO SPKK,NO STP,05/09/2024
560,A&L ENERGY TRADING,G1,TERENGGANU,HULU TERENGGANU,01-79303946,NO FAX,Yes,Yes,Yes,28/09/2025
561,A&M 86 ENTERPRISE,G1,PULAU PINANG,SEBERANG PERAI SELATAN,01-35803846,NO FAX,Yes,Yes,Yes,12/01/2026
562,A&M EXCELLENT ENTERPRISE,G3,NEGERI SEMBILAN,PORT DICKSON,01-92556698,NO FAX,Yes,NO SPKK,NO STP,04/09/2025
563,A&M MAJU GLOBAL ENTERPRISE,G1,SELANGOR,GOMBAK,01110204256,NO FAX,Yes,Yes,Yes,07/08/2025
564,A&M TRADE RESOURCES,G1,PERAK,HILIR PERAK,01-45861024,NO FAX,Yes,Yes,Yes,06/01/2024
565,A&M UTARA RESOURCES,G1,KEDAH,LANGKAWI,01-38358072,NO FAX,Yes,Yes,NO STP,26/09/2025
566,A&N DEVELOPMENT,G1,NEGERI SEMBILAN,TAMPIN,01-65273437,NO FAX,Yes,Yes,Yes,01/03/2025
567,A&N ENTERPRISE,G1,SABAH,LAHAD DATU,013-8464945,NO FAX,Yes,NO SPKK,NO STP,11/07/2025
568,A&N JAYA VENTURE,G3,JOHOR,JOHOR BAHRU,0--,NO FAX,Yes,NO SPKK,NO STP,22/06/2025
569,A&N SONS RESOURCES,G1,KELANTAN,PASIR MAS,09-7901689,NO FAX,Yes,Yes,Yes,12/06/2025
570,A&R BERJAYA,G1,SABAH,SANDAKAN,019-8723204,NO FAX,Yes,NO SPKK,NO STP,16/03/2024
571,A&R CONSTRUCTION ENTERPRISE,G1,KEDAH,BANDAR BAHARU,01-72452281,NO FAX,Yes,Yes,Yes,09/11/2026
572,A&R ENTREPRENEUR RESOURCES  SDN. BHD.,G5,SELANGOR,,016-6676725,NO FAX,Yes,NO SPKK,NO STP,31/07/2025
573,A&R POWER SYSTEMS SDN. BHD.,G4,SELANGOR,SEPANG,0387052361,0387052361,Yes,Yes,Yes,09/07/2025
574,A&S 97 RESOURCES,G1,TERENGGANU,BESUT,01-12547762,NO FAX,Yes,Yes,Yes,12/04/2025
575,A&S BERKAT EMPIRE,G1,KELANTAN,KOTA BHARU,01-29842502,NO FAX,Yes,Yes,Yes,15/11/2026
576,A&S BINA RESOURCES,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0148111797,-,Yes,Yes,Yes,22/11/2026
577,A&S ENTERPRISE,G1,SABAH,KENINGAU,087-339905,087339905,Yes,NO SPKK,NO STP,23/02/2026
578,A&S GLOBAL RESOURCES,G1,PERAK,HILIR PERAK,01-33232045,NO FAX,Yes,Yes,Yes,25/10/2025
579,A&S INFINITI RESOURCES,G4,JOHOR,SEGAMAT,01-96532950,NO FAX,Yes,Yes,Yes,08/07/2026
580,A&S INFINITY VENTURE,G4,KEDAH,PENDANG,01-34662808,04-4701130,Yes,Yes,Yes,01/03/2026
581,A&S JV ENTERPRISE,G2,MELAKA,ALOR GAJAH,01-26844444,NO FAX,Yes,Yes,Yes,07/09/2024
582,A&S MAJU TRADING,G2,WILAYAH PERSEKUTUAN KUALA LUMPUR,,01-13386683,NO FAX,Yes,NO SPKK,NO STP,29/05/2025
583,A&S MEGAHPADU RESOURCES,G1,SELANGOR,GOMBAK,11-64365166,NO FAX,Yes,Yes,Yes,13/03/2024
584,A&S SUCCESS MANAGEMENT,G1,JOHOR,KLUANG,0,0,Yes,Yes,Yes,17/03/2026
585,A&S TEGUH JAYA ENTERPRISE,G1,PAHANG,CAMERON HIGHLANDS,0,NO FAX,Yes,Yes,Yes,13/03/2025
586,A&S UTAMA RESOURCES,G1,SARAWAK,SARIKEI,016-8645738,NO FAX,Yes,NO SPKK,NO STP,25/06/2024
587,A&S WAFRI ENTERPRISE,G1,KEDAH,LANGKAWI,0146446864,NO FAX,Yes,Yes,Yes,14/06/2026
588,A&T STEEL SOLUTIONS,G3,KELANTAN,GUA MUSANG,09-9122120,NO FAX,Yes,NO SPKK,NO STP,31/10/2024
589,A&T SUCCESS ENGINEERING SDN. BHD.,G1,SELANGOR,KLANG,01-94002673,-,Yes,NO SPKK,NO STP,27/08/2026
590,A&T VENTURE SDN. BHD.,G5,SELANGOR,,0,NO FAX,Yes,NO SPKK,NO STP,10/04/2025
591,A&U BUSINESS GROUPS  SDN. BHD.,G5,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,0,0,Yes,NO SPKK,NO STP,17/01/2025
592,A&Y BAHAGIA TRADING,G2,PAHANG,ROMPIN,01-42987706,-,Yes,Yes,Yes,22/01/2024
593,A&Y ENGINEERING,G1,SELANGOR,PETALING,0,NO FAX,Yes,Yes,Yes,25/06/2026
594,A&Y TECHNOLOGY (M) SDN. BHD.,G5,SELANGOR,KLANG,0163623906,-,Yes,NO SPKK,NO STP,18/10/2025
595,A&Y VENTURES,G1,PULAU PINANG,Seberang Perai Utara,04-5753220,NO FAX,Yes,Yes,Yes,26/12/2024
596,A&Z CAMERON ENTERPRISE,G1,PAHANG,CAMERON HIGHLANDS,0,NO FAX,Yes,Yes,Yes,05/12/2025
597,A&Z EMPIRE ENTERPRISE,G1,MELAKA,MELAKA TENGAH,01-36264302,NO FAX,Yes,Yes,Yes,13/03/2026
598,A&Z ENTERPRISE,G2,SABAH,SANDAKAN,018-9711240,-,Yes,Yes,Yes,06/11/2024
599,A&Z GLOBAL RESOURCES,G1,TERENGGANU,SETIU,09-6091880,NO FAX,Yes,Yes,NO STP,08/02/2024
600,A&Z INDAH TRADING,G1,JOHOR,MUAR,0196493131,NO FAX,Yes,Yes,Yes,08/11/2025
601,A&Z NORTH RICH TRADING,G1,KEDAH,KUALA MUDA,01-64475883,NO FAX,Yes,Yes,Yes,11/04/2025
602,A&Z NUR ENTERPRISE,G1,TERENGGANU,SETIU,01-32477658,NO FAX,Yes,Yes,Yes,11/01/2025
603,A&Z SMART TEGUH ENTERPRISE,G2,TERENGGANU,DUNGUN,019-9511723,NO FAX,Yes,NO SPKK,NO STP,12/10/2024
604,A&Z TRADING,G1,PERAK,PERAK TENGAH,01-95008815,NO FAX,Yes,Yes,Yes,29/05/2024
605,A. DEEY ENTERPRISE,G1,SABAH,Kota Kinabalu,013-8666645,NO FAX,Yes,Yes,Yes,20/05/2024
606,A. F ELECTRICAL,G1,SARAWAK,BETONG,014-5788016,NO FAX,Yes,Yes,NO STP,21/03/2024
607,A. K LAND SDN. BHD.,G2,KELANTAN,KOTA BHARU,097438686,097438585,Yes,NO SPKK,NO STP,16/02/2025
608,A. R ENTERPRISE,G1,SABAH,BEAUFORT,087213357,087211493,Yes,Yes,Yes,02/02/2026
609,A. R. N. ENTERPRISE,G1,SABAH,Ranau,019-5890001,-,Yes,Yes,Yes,18/01/2024
610,A. RAUP,G1,SABAH,Ranau,019-8130220,-,Yes,Yes,Yes,15/09/2025
611,A. XAVIER ENTERPRISE,G1,SABAH,KENINGAU,0135556868,087338150,Yes,NO SPKK,NO STP,03/07/2026
612,A.A & H ENTERPRISE,G1,PULAU PINANG,TIMUR LAUT,0134220790,-,Yes,Yes,Yes,12/07/2026
613,A.A BITARA RESOURCES,G1,NEGERI SEMBILAN,PORT DICKSON,01-72713766,NO FAX,Yes,Yes,Yes,06/07/2026
614,A.A CREATIVE ENTERPRISE,G1,MELAKA,JASIN,0,NO FAX,Yes,Yes,Yes,03/11/2025
615,A.A HAKIMI ENTERPRISE,G1,SARAWAK,LIMBANG,010-5267067,NO FAX,Yes,Yes,NO STP,20/12/2024
616,A.A KONTRAKTOR,G1,SABAH,Kota Kinabalu,0148682100,NO FAX,Yes,Yes,Yes,13/04/2025
617,A.A. PEST CONTROL AND SERVICE,G1,SELANGOR,Hulu Langat,01161335977,NO FAX,Yes,NO SPKK,NO STP,25/07/2025
